artifact_type,bundle,file,destination_relative_path,producer_path,bytes,rows,columns,sha256
panel_source_data,computational_application_case,computational_application_case/pareto_rank1_all_candidates.csv,experiments/manuscript_figure_source_data/computational_application_case/pareto_rank1_all_candidates.csv,experiments/computational_application_case/scripts/build_refactored_application_case.py,27589,12,129,85559f7cd5acd99645e911167c2d7ba36fcdc62498693a04bed202bd674aba7e
panel_source_data,computational_application_case,computational_application_case/pareto_rank1_top8_selection.csv,experiments/manuscript_figure_source_data/computational_application_case/pareto_rank1_top8_selection.csv,experiments/computational_application_case/scripts/build_refactored_application_case.py,27571,12,129,e3e7f20f2ed274706087bf0879d54f8738818bcdbfbdc89e7f203561686ec0a8
panel_source_data,computational_application_case,computational_application_case/qualification_role_selection_audit.csv,experiments/manuscript_figure_source_data/computational_application_case/qualification_role_selection_audit.csv,experiments/computational_application_case/scripts/build_refactored_application_case.py,3422,32,7,931c5ad94c243b98e53b331222f54f0bf596923d39e85e84df6a01eea772e948
panel_source_data,computational_application_case,computational_application_case/reference_bootstrap_candidate_selection.csv,experiments/manuscript_figure_source_data/computational_application_case/reference_bootstrap_candidate_selection.csv,experiments/computational_application_case/scripts/build_refactored_application_case.py,55944,608,7,847c6036a6a71c55d31ec55798decd7431e0b34ca64bd84e77d26624d23b48fb
panel_source_data,computational_application_case,computational_application_case/reference_bootstrap_iterations.csv,experiments/manuscript_figure_source_data/computational_application_case/reference_bootstrap_iterations.csv,experiments/computational_application_case/scripts/build_refactored_application_case.py,90822,500,10,5b280b5d755dd70f5da03afef299583a530a7f65f5ba3881d353fd08622e0a2b
panel_source_data,computational_application_case,computational_application_case/reference_cell_candidate_summary.csv,experiments/manuscript_figure_source_data/computational_application_case/reference_cell_candidate_summary.csv,experiments/computational_application_case/scripts/build_refactored_application_case.py,295333,638,32,92b876eaa5de148f12efbc179c56902825e6a43714cdcbc0f9c4ed47c4b26240
panel_source_data,computational_application_case,computational_application_case/reference_cell_metrics_temperature.csv,experiments/manuscript_figure_source_data/computational_application_case/reference_cell_metrics_temperature.csv,experiments/computational_application_case/scripts/build_refactored_application_case.py,16239417,12760,78,055405f341e334875da947477c48e200459614aa373ef13bf8eddd2c12edb428
panel_source_data,computational_application_case,computational_application_case/standard_inchikey_identity_audit_608.csv,experiments/manuscript_figure_source_data/computational_application_case/standard_inchikey_identity_audit_608.csv,experiments/computational_application_case/scripts/build_refactored_application_case.py,152107,608,19,8f0bc682b0152ad2686020398df16ce0b6f1254c30c2b72a840b10ab99778b28
panel_source_data,computational_application_case,computational_application_case/threshold_sensitivity.csv,experiments/manuscript_figure_source_data/computational_application_case/threshold_sensitivity.csv,experiments/computational_application_case/scripts/build_refactored_application_case.py,10369,81,14,08f46390634fdff314eb6022f339d1be9d9ac2d0e7c0ca04799e7f8f66a9fb21
panel_source_data,dataset_statistics,dataset_statistics/dataset_statistics_source_data_A.csv,experiments/manuscript_figure_source_data/dataset_statistics/dataset_statistics_source_data_A.csv,experiments/dataset_analysis/scripts/export_dataset_statistics_source_data.py,743,6,7,b905e8b80b8e14f12a6eb681462ea68ed4c24c95d8e738b987f12c3fccd68933
panel_source_data,dataset_statistics,dataset_statistics/dataset_statistics_source_data_B.csv,experiments/manuscript_figure_source_data/dataset_statistics/dataset_statistics_source_data_B.csv,experiments/dataset_analysis/scripts/export_dataset_statistics_source_data.py,3994,30,8,beeca1d60c87cb3989ef5d87059b9bd4bd6e3a7a11d797fa12b6c97278341dbb
panel_source_data,dataset_statistics,dataset_statistics/dataset_statistics_source_data_C.csv,experiments/manuscript_figure_source_data/dataset_statistics/dataset_statistics_source_data_C.csv,experiments/dataset_analysis/scripts/export_dataset_statistics_source_data.py,1495712,6750,11,6fb0f1ad5ce25ad97e8cc951ecb69de4192477f546b10514329aec7f5fe24894
panel_source_data,dataset_statistics,dataset_statistics/dataset_statistics_source_data_D.csv,experiments/manuscript_figure_source_data/dataset_statistics/dataset_statistics_source_data_D.csv,experiments/dataset_analysis/scripts/export_dataset_statistics_source_data.py,830,6,8,a2c747bf3e13d46dbb4f945fd3ad82b0c2be105986f84041e9d5818a1222cd30
panel_source_data,dataset_statistics,dataset_statistics/dataset_statistics_source_data_E.csv,experiments/manuscript_figure_source_data/dataset_statistics/dataset_statistics_source_data_E.csv,experiments/dataset_analysis/scripts/export_dataset_statistics_source_data.py,41433,222,11,95c7d97a2bbf60c9d1d2f90ed09ca20bb7d826d62293bb2c43c0fc3fb2dc0ec2
panel_source_data,dataset_statistics,dataset_statistics/dataset_statistics_source_data_F.csv,experiments/manuscript_figure_source_data/dataset_statistics/dataset_statistics_source_data_F.csv,experiments/dataset_analysis/scripts/export_dataset_statistics_source_data.py,1107,9,9,fb2a1adcf3db5cb5b689dc1b86728cf08e97b810775d67cc46c03dd06ef1f38b
panel_source_data,dataset_statistics,dataset_statistics/dataset_statistics_source_data_G.csv,experiments/manuscript_figure_source_data/dataset_statistics/dataset_statistics_source_data_G.csv,experiments/dataset_analysis/scripts/export_dataset_statistics_source_data.py,35134455,110212,18,cd9ce5a55b1f72c902c99c5c3411ea0febc8755b721dbe53cbbb00a7fb285ce6
panel_source_data,dataset_statistics,dataset_statistics/dataset_statistics_source_data_H.csv,experiments/manuscript_figure_source_data/dataset_statistics/dataset_statistics_source_data_H.csv,experiments/dataset_analysis/scripts/export_dataset_statistics_source_data.py,426,3,9,f6de3b2d04b0489522b12b38b9218613461c8d10361ebbb86ee3fea38e526299
panel_source_data,interpretability_feature_importance_4x3,interpretability_feature_importance_4x3/feature_importance_heatmap_combined_row_plot_data.csv,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/feature_importance_heatmap_combined_row_plot_data.csv,experiments/interpretability/scripts/plot_feature_importance_summary.py,29629,138,19,2ce77fa87ed073c58f79737db500ce4d149cc4b4bd9f4fe50253f65dcfa6c9c0
panel_source_data,interpretability_feature_importance_4x3,interpretability_feature_importance_4x3/feature_importance_heatmap_combined_row_ranked_summary.csv,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/feature_importance_heatmap_combined_row_ranked_summary.csv,experiments/interpretability/scripts/plot_feature_importance_summary.py,1433,23,4,06726216b1f1f5796628949b1ab63edb83423681043bca7402a88758dd0fc288
panel_source_data,interpretability_feature_importance_4x3,interpretability_feature_importance_4x3/feature_importance_heatmap_plot_data.csv,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/feature_importance_heatmap_plot_data.csv,experiments/interpretability/scripts/plot_feature_importance_summary.py,29629,138,19,070964aeea4b496a022359274f9de37d969db9297932243ca428a412ccdd081b
panel_source_data,interpretability_feature_importance_4x3,interpretability_feature_importance_4x3/feature_importance_heatmap_ranked_summary.csv,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/feature_importance_heatmap_ranked_summary.csv,experiments/interpretability/scripts/plot_feature_importance_summary.py,1433,23,4,12b1afa6021881dec42d60a357e116aeddd2a28717056f29489c34506c6e7a2e
panel_source_data,interpretability_feature_importance_4x3,interpretability_feature_importance_4x3/feature_importance_heatmap_source_data_edges.csv,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/feature_importance_heatmap_source_data_edges.csv,il_property_prediction/scripts/compute_feature_importance_heatmap.py,3427,30,7,5a9c224ff38a573fb54f78a0ae6c7c4a168328dcb5a85e7bf308b491122e3a75
panel_source_data,interpretability_feature_importance_4x3,interpretability_feature_importance_4x3/feature_importance_heatmap_source_data_functional_groups.csv,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/feature_importance_heatmap_source_data_functional_groups.csv,il_property_prediction/scripts/compute_feature_importance_heatmap.py,60321,480,8,59ce73589919fcd428116d66ba38927d45c11d09a3fc82551e1ce2ee263cc442
panel_source_data,interpretability_feature_importance_4x3,interpretability_feature_importance_4x3/feature_importance_heatmap_source_data_nodes.csv,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/feature_importance_heatmap_source_data_nodes.csv,il_property_prediction/scripts/compute_feature_importance_heatmap.py,3564,36,7,2013254e4823daa806a50f60e695e01c70a17736c11b9d3e19b37c448103dfc5
panel_source_data,interpretability_feature_importance_4x3,interpretability_feature_importance_4x3/interpretability_results_source_data_A.csv,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/interpretability_results_source_data_A.csv,experiments/interpretability/scripts/plot_interpretability_results_current.py,1063753,5634,10,1ef18c00308a46edb342f1a21bfdc546bbe3671c00614caab180168f531bb123
panel_source_data,interpretability_feature_importance_4x3,interpretability_feature_importance_4x3/interpretability_results_source_data_B.csv,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/interpretability_results_source_data_B.csv,experiments/interpretability/scripts/plot_interpretability_results_current.py,2631,6,13,be19c2555855c36e60e5b78ce9ddafd7526e829a3ee6eb6349b215e476756140
panel_source_data,interpretability_feature_importance_4x3,interpretability_feature_importance_4x3/interpretability_results_source_data_C.csv,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/interpretability_results_source_data_C.csv,experiments/interpretability/scripts/plot_interpretability_results_current.py,291248,7518,3,3e9fd0075d27c15d56722f19dbe8eab135b6d015ba05f8d7f6268369123f0dda
panel_source_data,interpretability_feature_importance_4x3,interpretability_feature_importance_4x3/interpretability_results_source_data_D.csv,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/interpretability_results_source_data_D.csv,experiments/interpretability/scripts/plot_interpretability_results_current.py,361579,7516,4,7036a318c5066ac2248fd8b53a1645fb679658c9cc298876ae33a1e1dc6cb8c4
panel_source_data,interpretability_feature_importance_4x3,interpretability_feature_importance_4x3/interpretability_results_source_data_E.csv,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/interpretability_results_source_data_E.csv,experiments/interpretability/scripts/plot_interpretability_results_current.py,468,6,7,7ae319237ac29f80f85ebc994236327d7ba41361ba18b94f5f0a8550e1ee1b8a
panel_source_data,interpretability_feature_importance_4x3,interpretability_feature_importance_4x3/interpretability_results_source_data_F.csv,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/interpretability_results_source_data_F.csv,experiments/interpretability/scripts/plot_interpretability_results_current.py,397964,7516,4,2715d44caefe1cfabb5e644454c3d1f3e6c8427e1a1a9a4cdbaec3314b999344
panel_source_data,interpretability_feature_importance_4x3,interpretability_feature_importance_4x3/interpretability_results_source_data_G.csv,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/interpretability_results_source_data_G.csv,experiments/interpretability/scripts/plot_interpretability_results_current.py,4846,48,9,c60334f4b51e20aac171141c1d84f9c6fa58878c44baa8a1777354831856f9fe
panel_source_data,interpretability_feature_importance_4x3,interpretability_feature_importance_4x3/interpretability_results_source_data_H.csv,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/interpretability_results_source_data_H.csv,experiments/interpretability/scripts/plot_interpretability_results_current.py,4637,48,9,d9140393137bdeffddc0770fd1ad2f6753c883419537a22c6bfc9f222d8cd99c
panel_source_data,interpretability_feature_importance_4x3,interpretability_feature_importance_4x3/interpretability_results_source_data_I.csv,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/interpretability_results_source_data_I.csv,experiments/interpretability/scripts/plot_interpretability_results_current.py,5229,48,9,26c27a23f4f6810d1b156981e4ad571ca7ecd4721a0126b3cf98e359cde55493
panel_source_data,interpretability_feature_importance_4x3,interpretability_feature_importance_4x3/interpretability_results_source_data_M.csv,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/interpretability_results_source_data_M.csv,experiments/interpretability/scripts/plot_interpretability_results_current.py,16231,168,9,706acb339a9d5636e71d89df4a1b33e87daa8dcc70fa987471440ccb9cf14509
field_dictionary,molecular_origin_analysis,molecular_origin_analysis/column_dictionary.csv,experiments/manuscript_figure_source_data/molecular_origin_analysis/column_dictionary.csv,experiments/molecular_origin_analysis/package_source_data.py,19503,132,4,e724bfcbc0fd5bcbd76083e92666f2153943e81c606b9d8419de6a73b7ee8023
panel_source_data,molecular_origin_analysis,molecular_origin_analysis/source_data/figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,experiments/manuscript_figure_source_data/molecular_origin_analysis/source_data/figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,experiments/molecular_origin_analysis/package_source_data.py,15772,27,52,591eae4fc345e873d89f21c3f109f055693559bd25213b2c25a7600bb5e30313
panel_source_data,molecular_origin_analysis,molecular_origin_analysis/source_data/figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,experiments/manuscript_figure_source_data/molecular_origin_analysis/source_data/figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,experiments/molecular_origin_analysis/package_source_data.py,9429,18,36,d8d65fe9dd9f1a77852f3c3e1815b7b8dfd63ee2af6a87692af5efc5ebba12ad
panel_source_data,molecular_origin_analysis,molecular_origin_analysis/source_data/figure_main_molecular_origin_analysis_final_panel_c_source_data.csv,experiments/manuscript_figure_source_data/molecular_origin_analysis/source_data/figure_main_molecular_origin_analysis_final_panel_c_source_data.csv,experiments/molecular_origin_analysis/package_source_data.py,29259,90,26,4a68110c77eae4d6e277f63bfaef74a6532b742162886e1d289a5d8e01cf87e3
panel_source_data,molecular_origin_analysis,molecular_origin_analysis/source_data/figure_main_molecular_origin_analysis_final_panel_d_source_data.csv,experiments/manuscript_figure_source_data/molecular_origin_analysis/source_data/figure_main_molecular_origin_analysis_final_panel_d_source_data.csv,experiments/molecular_origin_analysis/package_source_data.py,5288984,15839,14,242023620cffc8d39e6310fd700eb318f4e2c8d451e8c293d06678a5140c3e23
panel_source_data,molecular_origin_analysis,molecular_origin_analysis/source_data/figure_si_heat_capacity_size_control_source_data.csv,experiments/manuscript_figure_source_data/molecular_origin_analysis/source_data/figure_si_heat_capacity_size_control_source_data.csv,experiments/molecular_origin_analysis/package_source_data.py,68980,627,4,212fccf6c12bb0fcb57438ddf2a9797edaf8b95fa19bb44a7a11c7976f3709f3
panel_source_data,performance_results,performance_results/final_test_metrics_summary_source_data.csv,experiments/manuscript_figure_source_data/performance_results/final_test_metrics_summary_source_data.csv,experiments/performance_results/plot_performance_results.py,342,7,5,76125d9cbdf9aefda076ed14b90764d839152eed31b682f8c7175eaee11917f8
panel_source_data,performance_results,performance_results/performance_results_source_data_A.csv,experiments/manuscript_figure_source_data/performance_results/performance_results_source_data_A.csv,experiments/performance_results/plot_performance_results.py,2257611,10468,15,419b8afeeaf7412f8aaccc851c0f500be3ba0daa8ad10752d80afde0cd093684
panel_source_data,performance_results,performance_results/performance_results_source_data_B.csv,experiments/manuscript_figure_source_data/performance_results/performance_results_source_data_B.csv,experiments/performance_results/plot_performance_results.py,1608339,6955,15,f1be5d7c4758702fa177d4fbaa027ff8492ddb67a3ac0a35e831799b70988be2
panel_source_data,performance_results,performance_results/performance_results_source_data_C.csv,experiments/manuscript_figure_source_data/performance_results/performance_results_source_data_C.csv,experiments/performance_results/plot_performance_results.py,734526,2939,15,f5958e23e3861d6e8f649d5c4edf6b886bf6e2c1563bad43fc2745dfb22e46c4
panel_source_data,performance_results,performance_results/performance_results_source_data_D.csv,experiments/manuscript_figure_source_data/performance_results/performance_results_source_data_D.csv,experiments/performance_results/plot_performance_results.py,1134637,4993,15,bf1059f333026569a4c7bae6eed5a06f68bc8198062c07ccba047ff8964c4442
panel_source_data,performance_results,performance_results/performance_results_source_data_E.csv,experiments/manuscript_figure_source_data/performance_results/performance_results_source_data_E.csv,experiments/performance_results/plot_performance_results.py,701116,3063,15,4111469d41c34a02696f3ef2cac3e699e548d03a4f2774a17e5c026f01a76c05
panel_source_data,performance_results,performance_results/performance_results_source_data_F.csv,experiments/manuscript_figure_source_data/performance_results/performance_results_source_data_F.csv,experiments/performance_results/plot_performance_results.py,99706,419,15,a3e8f9102c092bd270f2da22382f67e940bb52ed602e303c3d1ae85f8b76701d
panel_source_data,performance_results,performance_results/performance_results_source_data_G.csv,experiments/manuscript_figure_source_data/performance_results/performance_results_source_data_G.csv,experiments/performance_results/plot_performance_results.py,581,4,7,b4c8bb6f57cc4c5d99182e9a0e5c267c8e3963e61dd71a259c8792d3eb77e52a
panel_source_data,performance_results,performance_results/performance_results_source_data_H.csv,experiments/manuscript_figure_source_data/performance_results/performance_results_source_data_H.csv,experiments/performance_results/plot_performance_results.py,1924,24,5,5ef79bc29528a715a4246448a153719ae5e808ee471e15dda4842780068f67b2
panel_source_data,performance_results,performance_results/performance_results_source_data_I.csv,experiments/manuscript_figure_source_data/performance_results/performance_results_source_data_I.csv,experiments/performance_results/plot_performance_results.py,1903,24,5,498131857c279b31495a770fa2675ec922d4f81c58e285d465218fb8208f4a98
field_dictionary,_catalog,column_dictionary.csv,experiments/manuscript_figure_source_data/column_dictionary.csv,experiments/manuscript_figure_source_data/rebuild_manifest.py,317485,1198,8,b3f3abab09365449a4c71cfa027885d02f665137dca201ad95484ae94d7b3894
