figure_id,panel_mapping,csv_file,description,origin,rows,columns,sha256
interpretability,d,source_data/interpretability/interpretability_results_source_data_D.csv,Interpretability or feature-attribution panel source data.,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/interpretability_results_source_data_D.csv,7516,4,7036a318c5066ac2248fd8b53a1645fb679658c9cc298876ae33a1e1dc6cb8c4
interpretability,e,source_data/interpretability/interpretability_results_source_data_E.csv,Interpretability or feature-attribution panel source data.,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/interpretability_results_source_data_E.csv,6,7,7ae319237ac29f80f85ebc994236327d7ba41361ba18b94f5f0a8550e1ee1b8a
interpretability,f,source_data/interpretability/interpretability_results_source_data_F.csv,Interpretability or feature-attribution panel source data.,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/interpretability_results_source_data_F.csv,7516,4,2715d44caefe1cfabb5e644454c3d1f3e6c8427e1a1a9a4cdbaec3314b999344
interpretability,g,source_data/interpretability/interpretability_results_source_data_G.csv,Interpretability or feature-attribution panel source data.,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/interpretability_results_source_data_G.csv,48,9,c60334f4b51e20aac171141c1d84f9c6fa58878c44baa8a1777354831856f9fe
interpretability,h,source_data/interpretability/interpretability_results_source_data_H.csv,Interpretability or feature-attribution panel source data.,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/interpretability_results_source_data_H.csv,48,9,d9140393137bdeffddc0770fd1ad2f6753c883419537a22c6bfc9f222d8cd99c
interpretability,i,source_data/interpretability/interpretability_results_source_data_I.csv,Interpretability or feature-attribution panel source data.,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/interpretability_results_source_data_I.csv,48,9,26c27a23f4f6810d1b156981e4ad571ca7ecd4721a0126b3cf98e359cde55493
interpretability,g-i (master table),source_data/interpretability/interpretability_results_source_data_M.csv,Interpretability or feature-attribution panel source data.,experiments/manuscript_figure_source_data/interpretability_feature_importance_4x3/interpretability_results_source_data_M.csv,168,9,706acb339a9d5636e71d89df4a1b33e87daa8dcc70fa987471440ccb9cf14509
figureS_heat_capacity_size_control,a-c,source_data/figureS_heat_capacity_size_control/figure_si_heat_capacity_size_control_source_data.csv,Identity-level heat-capacity size-control records.,experiments/manuscript_figure_source_data/molecular_origin_analysis/source_data/figure_si_heat_capacity_size_control_source_data.csv,627,4,212fccf6c12bb0fcb57438ddf2a9797edaf8b95fa19bb44a7a11c7976f3709f3
Intro-method,a-e,source_data/Intro-method/Intro-method_panel_inventory.csv,Non-quantitative panel inventory; the schematic has no plotted CSV data.,manual figure inventory,5,3,da8ca867492efd7536540b8134d8589c7b4b0d67291d17f9f23a83655c086cd3
performance_results,g-i,source_data/performance_results/final_test_metrics_summary_source_data.csv,Exact panel-level performance source data.,experiments/manuscript_figure_source_data/performance_results/final_test_metrics_summary_source_data.csv,7,5,76125d9cbdf9aefda076ed14b90764d839152eed31b682f8c7175eaee11917f8
performance_results,a,source_data/performance_results/performance_results_source_data_A.csv,Exact panel-level performance source data.,experiments/manuscript_figure_source_data/performance_results/performance_results_source_data_A.csv,10468,15,419b8afeeaf7412f8aaccc851c0f500be3ba0daa8ad10752d80afde0cd093684
performance_results,b,source_data/performance_results/performance_results_source_data_B.csv,Exact panel-level performance source data.,experiments/manuscript_figure_source_data/performance_results/performance_results_source_data_B.csv,6955,15,f1be5d7c4758702fa177d4fbaa027ff8492ddb67a3ac0a35e831799b70988be2
performance_results,c,source_data/performance_results/performance_results_source_data_C.csv,Exact panel-level performance source data.,experiments/manuscript_figure_source_data/performance_results/performance_results_source_data_C.csv,2939,15,f5958e23e3861d6e8f649d5c4edf6b886bf6e2c1563bad43fc2745dfb22e46c4
performance_results,d,source_data/performance_results/performance_results_source_data_D.csv,Exact panel-level performance source data.,experiments/manuscript_figure_source_data/performance_results/performance_results_source_data_D.csv,4993,15,bf1059f333026569a4c7bae6eed5a06f68bc8198062c07ccba047ff8964c4442
performance_results,e,source_data/performance_results/performance_results_source_data_E.csv,Exact panel-level performance source data.,experiments/manuscript_figure_source_data/performance_results/performance_results_source_data_E.csv,3063,15,4111469d41c34a02696f3ef2cac3e699e548d03a4f2774a17e5c026f01a76c05
performance_results,f,source_data/performance_results/performance_results_source_data_F.csv,Exact panel-level performance source data.,experiments/manuscript_figure_source_data/performance_results/performance_results_source_data_F.csv,419,15,a3e8f9102c092bd270f2da22382f67e940bb52ed602e303c3d1ae85f8b76701d
performance_results,g,source_data/performance_results/performance_results_source_data_G.csv,Exact panel-level performance source data.,experiments/manuscript_figure_source_data/performance_results/performance_results_source_data_G.csv,4,7,b4c8bb6f57cc4c5d99182e9a0e5c267c8e3963e61dd71a259c8792d3eb77e52a
performance_results,h,source_data/performance_results/performance_results_source_data_H.csv,Exact panel-level performance source data.,experiments/manuscript_figure_source_data/performance_results/performance_results_source_data_H.csv,24,5,5ef79bc29528a715a4246448a153719ae5e808ee471e15dda4842780068f67b2
performance_results,i,source_data/performance_results/performance_results_source_data_I.csv,Exact panel-level performance source data.,experiments/manuscript_figure_source_data/performance_results/performance_results_source_data_I.csv,24,5,498131857c279b31495a770fa2675ec922d4f81c58e285d465218fb8208f4a98
performance_results,audit,source_data/performance_results/source_figure_audit.csv,Exact panel-level performance source data.,experiments/manuscript_figure_source_data/performance_results/source_figure_audit.csv,1,6,01bff721b1b50a9fe56d3d425092b1619a23e71c8ab6fcf7fe327d7224a2de23
reference_cell_scenario_audited,"b,d,e",source_data/reference_cell_scenario_audited/reference_cell_metrics_temperature.csv,Temperature-resolved electrolyte-path engineering metrics.,experiments/computational_application_case/chapter_results/csv/reference_cell_metrics_temperature.csv,12760,78,055405f341e334875da947477c48e200459614aa373ef13bf8eddd2c12edb428
reference_cell_scenario_audited,c,source_data/reference_cell_scenario_audited/candidate_screening_trajectory_608.csv,Screened-population thermal-property coordinates.,experiments/computational_application_case/chapter_results/csv/candidate_screening_trajectory_608.csv,608,112,2b491f302512a5263e7d9a830367448fe60334f0e23ea3dd08c9baefabbb3c8e
reference_cell_scenario_audited,"b,c,d",source_data/reference_cell_scenario_audited/downstream_qualification_priorities.csv,Qualification leads highlighted in the post hoc mapping.,experiments/computational_application_case/chapter_results/csv/downstream_qualification_priorities.csv,4,20,5e2f3655903ade23fff03cd03172620b12333b0218a25a09448f0446cab383fa
reference_cell_scenario_audited,e,source_data/reference_cell_scenario_audited/extended_endpoint_transport_tradeoff.csv,Cold-hot endpoint resistance ratios.,experiments/computational_application_case/chapter_results/csv/extended_endpoint_transport_tradeoff.csv,8,3,6bb4541211d5fd951e411479f56cd3d41f562cecf44a1e7b9ee984515362793c
reference_cell_scenario_audited,f,source_data/reference_cell_scenario_audited/reference_cell_candidate_summary.csv,Reference-population exceedance context.,experiments/computational_application_case/chapter_results/csv/reference_cell_candidate_summary.csv,638,32,92b876eaa5de148f12efbc179c56902825e6a43714cdcbc0f9c4ed47c4b26240
reference_cell_scenario_audited,"b,c,d,e,f",source_data/reference_cell_scenario_audited/final_prioritized_candidates.csv,Formal shortlist fixed before reference-cell mapping.,experiments/computational_application_case/chapter_results/csv/final_prioritized_candidates.csv,8,129,3cdb8eda699cc0d4307dabfe463264ff94717d1458064fe1efc55b359a93be9e
reference_cell_scenario_audited,a,source_data/reference_cell_scenario_audited/panel_a_reference_cell_scenario_parameters.csv,Standardized 60-s constant-current scenario parameters.,transcribed from the audited plotting protocol,7,4,21f201de04beaefc099ecd2dedd028aa26b0579ab5fe611c21826a575cb108bb
molecular_origin_analysis,a,source_data/molecular_origin_analysis/figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,Association and attention evidence-map records.,experiments/manuscript_figure_source_data/molecular_origin_analysis/source_data/figure_main_molecular_origin_analysis_final_panel_a_source_data.csv,27,52,591eae4fc345e873d89f21c3f109f055693559bd25213b2c25a7600bb5e30313
molecular_origin_analysis,b,source_data/molecular_origin_analysis/figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,Leading association within each structural scope.,experiments/manuscript_figure_source_data/molecular_origin_analysis/source_data/figure_main_molecular_origin_analysis_final_panel_b_source_data.csv,18,36,d8d65fe9dd9f1a77852f3c3e1815b7b8dfd63ee2af6a87692af5efc5ebba12ad
molecular_origin_analysis,c,source_data/molecular_origin_analysis/figure_main_molecular_origin_analysis_final_panel_c_source_data.csv,Condition-adjusted response curves and bootstrap intervals.,experiments/manuscript_figure_source_data/molecular_origin_analysis/source_data/figure_main_molecular_origin_analysis_final_panel_c_source_data.csv,90,26,4a68110c77eae4d6e277f63bfaef74a6532b742162886e1d289a5d8e01cf87e3
molecular_origin_analysis,d,source_data/molecular_origin_analysis/figure_main_molecular_origin_analysis_final_panel_d_source_data.csv,Condition-matched ion-substitution effects.,experiments/manuscript_figure_source_data/molecular_origin_analysis/source_data/figure_main_molecular_origin_analysis_final_panel_d_source_data.csv,15839,14,242023620cffc8d39e6310fd700eb318f4e2c8d451e8c293d06678a5140c3e23
